Id,Name,SKU,content,"Short Description",sku,category,"Gallery Image","Product Image",Download,Image,print-position-1,print-position-2,packaging,kop-fran,tariff-stat-nr,standardfarg,tryckyta,logo,material,kapacitet,vikt,dimensioner,version,certifikat,"original-64 GB-50","original-64 GB-100","original-64 GB-250","original-64 GB-500","original-64 GB-1000","original-64 GB-2500","original-64 GB-5000","original-128 GB-50","original-128 GB-100","original-128 GB-250","original-128 GB-500","original-128 GB-1000","original-128 GB-2500","original-128 GB-5000","original-256 GB-50","original-256 GB-100","original-256 GB-250","original-256 GB-500","original-256 GB-1000","original-256 GB-2500","original-256 GB-5000","original-512 GB-50","original-512 GB-100","original-512 GB-250","original-512 GB-500","original-512 GB-1000","original-512 GB-2500","original-512 GB-5000",original-1TB-50,original-1TB-100,original-1TB-250,original-1TB-500,original-1TB-1000,original-1TB-2500,original-1TB-5000,"original-4 GB-50","original-4 GB-100","original-4 GB-250","original-4 GB-500","original-4 GB-1000","original-4 GB-2500","original-4 GB-5000","original-8 GB-50","original-8 GB-100","original-8 GB-250","original-8 GB-500","original-8 GB-1000","original-8 GB-2500","original-8 GB-5000","original-16 GB-50","original-16 GB-100","original-16 GB-250","original-16 GB-500","original-16 GB-1000","original-16 GB-2500","original-16 GB-5000","original-32 GB-50","original-32 GB-100","original-32 GB-250","original-32 GB-500","original-32 GB-1000","original-32 GB-2500","original-32 GB-5000",accessories,"oem-tlc-1 GB-50","oem-tlc-1 GB-100","oem-tlc-1 GB-250","oem-tlc-1 GB-500","oem-tlc-1 GB-1000","oem-tlc-1 GB-2500","oem-tlc-1 GB-5000","oem-tlc-2 GB-50","oem-tlc-2 GB-100","oem-tlc-2 GB-250","oem-tlc-2 GB-500","oem-tlc-2 GB-1000","oem-tlc-2 GB-2500","oem-tlc-2 GB-5000","oem-tlc-4 GB-50","oem-tlc-4 GB-100","oem-tlc-4 GB-250","oem-tlc-4 GB-500","oem-tlc-4 GB-1000","oem-tlc-4 GB-2500","oem-tlc-4 GB-5000","oem-tlc-8 GB-50","oem-tlc-8 GB-100","oem-tlc-8 GB-250","oem-tlc-8 GB-500","oem-tlc-8 GB-1000","oem-tlc-8 GB-2500","oem-tlc-8 GB-5000","oem-tlc-16 GB-50","oem-tlc-16 GB-100","oem-tlc-16 GB-250","oem-tlc-16 GB-500","oem-tlc-16 GB-1000","oem-tlc-16 GB-2500","oem-tlc-16 GB-5000","oem-tlc-32 GB-50","oem-tlc-32 GB-100","oem-tlc-32 GB-250","oem-tlc-32 GB-500","oem-tlc-32 GB-1000","oem-tlc-32 GB-2500","oem-tlc-32 GB-5000","oem-tlc-64 GB-50","oem-tlc-64 GB-100","oem-tlc-64 GB-250","oem-tlc-64 GB-500","oem-tlc-64 GB-1000","oem-tlc-64 GB-2500","oem-tlc-64 GB-5000","oem_mlc-1 GB-50","oem_mlc-1 GB-100","oem_mlc-1 GB-250","oem_mlc-1 GB-500","oem_mlc-1 GB-1000","oem_mlc-1 GB-2500","oem_mlc-1 GB-5000","oem_mlc-2 GB-50","oem_mlc-2 GB-100","oem_mlc-2 GB-250","oem_mlc-2 GB-500","oem_mlc-2 GB-1000","oem_mlc-2 GB-2500","oem_mlc-2 GB-5000","oem_mlc-4 GB-50","oem_mlc-4 GB-100","oem_mlc-4 GB-250","oem_mlc-4 GB-500","oem_mlc-4 GB-1000","oem_mlc-4 GB-2500","oem_mlc-4 GB-5000","oem_mlc-8 GB-50","oem_mlc-8 GB-100","oem_mlc-8 GB-250","oem_mlc-8 GB-500","oem_mlc-8 GB-1000","oem_mlc-8 GB-2500","oem_mlc-8 GB-5000","oem_mlc-16 GB-50","oem_mlc-16 GB-100","oem_mlc-16 GB-250","oem_mlc-16 GB-500","oem_mlc-16 GB-1000","oem_mlc-16 GB-2500","oem_mlc-16 GB-5000","oem_mlc-32 GB-50","oem_mlc-32 GB-100","oem_mlc-32 GB-250","oem_mlc-32 GB-500","oem_mlc-32 GB-1000","oem_mlc-32 GB-2500","oem_mlc-32 GB-5000","oem_mlc-64 GB-50","oem_mlc-64 GB-100","oem_mlc-64 GB-250","oem_mlc-64 GB-500","oem_mlc-64 GB-1000","oem_mlc-64 GB-2500","oem_mlc-64 GB-5000","original-1 GB-50","original-1 GB-100","original-1 GB-250","original-1 GB-500","original-1 GB-1000","original-1 GB-2500","original-1 GB-5000","original-2 GB-50","original-2 GB-100","original-2 GB-250","original-2 GB-500","original-2 GB-1000","original-2 GB-2500","original-2 GB-5000"
21,"Wood cross USB",20076,"USB minne i snygg form av ett träkors. Hatten hålls fast av stavmagneter. Levereras med snygg läderrem.","USB minne i snygg form av ett träkors. Hatten hålls fast av stavmagneter. Levereras med snygg läderrem.",20076,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7677d4d6.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b76803cc3.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7688a3a2.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b766e0ce6.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/Wood-Cross-Pictures.zip"">Wood Cross Pictures</a>",,"720-sv,191-sv,192-sv,193-sv,198-sv","194-sv,195-sv,196-sv,197-sv,199-sv",-,"100 st",8523511000,Ljusbrun,84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,0.0,112,111,108,105,103,101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,46,45,44,43,42,41,0.0,50,49,48,47,46,45,0.0,52,51,50,49,48,47,0.0,83,82,80,78,76,75,"552-sv,karbinhake,650-sv,651-sv,551-sv",0.0,35,34,33,32,31,30,0.0,36,35,34,33,32,31,0.0,37,36,35,34,33,32,0.0,39,38,37,36,35,34,0.0,40,39,38,37,36,35,0.0,49,48,47,46,45,44,-,-,-,-,-,-,-,0.0,40,39,38,37,36,35,0.0,41,40,39,38,37,36,0.0,41,40,39,38,37,36,0.0,44,43,42,41,40,39,0.0,45,44,43,42,41,40,0.0,54,53,52,51,50,49,0.0,75,74,72,70,69,68,0.0,44,43,42,41,40,39,0.0,45,44,43,42,41,40
22,"Wristband USB",20044,,"Tuff, modern produkt med minnet runt handleden. Stor tryckyta för maximal exponering.",20044,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b74bd64d3.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b74c86f49.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b74d2704f.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b74d88b4e.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b74b74c74.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/Wristband-Pictures.zip"">Wristband Pictures</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Wristband-Simulation-20150609.pdf"">Wristband Simulation 20150609</a>",,720-sv,194-sv,-,"100 st",8523511000,"Vit, svart, blå, röd, grön, orange, rosa, lila",84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,0.0,106,105,102,100,98,96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,40,39,38,37,36,35,0.0,44,43,42,41,40,39,0.0,46,45,44,43,42,41,0.0,77,76,75,74,73,72,-,0.0,30,29,28,27,26,25,0.0,31,30,29,28,27,26,0.0,32,31,30,29,28,27,0.0,33,32,31,30,29,28,0.0,34,33,32,31,30,29,0.0,43,42,41,40,39,38,0.0,63,62,61,60,59,58,0.0,34,33,32,31,30,29,0.0,35,34,33,32,31,30,0.0,36,35,34,33,32,31,0.0,38,37,36,35,34,33,0.0,39,38,37,36,35,34,0.0,49,48,47,46,45,44,0.0,69,68,67,66,65,64,0.0,38,37,36,35,34,33,0.0,39,38,37,36,35,34
23,"Twist to phone USB",11510,"Med en enkel twist för du över information mellan din dator och telefon. Enklare blir det inte att flytta information. Passar alla telefoner med micro USB uttag, med Android 4.0 eller högre. Passar ej Iphone!","Med en enkel twist för du över information mellan din dator och telefon. Enklare blir det inte att flytta information. Passar alla telefoner med micro USB uttag, med Android 4.0 eller högre. Passar ej Iphone!",11510,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b82836b69.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b828b31ab.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8294c433.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b829dd0c4.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b82a738b7.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b82786ead.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/Twist-to-Phone-Pictures.zip"">Twist to Phone Pictures</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Twist-to-Phone-Simulation-20130730.pdf"">Twist to Phone Simulation 20130730</a>",,"720-sv,191-sv,192-sv,193-sv,198-sv","194-sv,260-1b-sv,195-sv,196-sv,197-sv,199-sv","411-sv,457-sv,453-sv,452-sv,456-sv,901-sv","100 st",8523511000,"Silver clips /vit, svart, blå ,röd, grön, gul",84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,49,48,47,46,45,44,0.0,57,53,52,51,50,49,0.0,55,54,53,52,51,50,0.0,87,85,82,80,79,77,"552-sv,karbinhake,650-sv,651-sv,551-sv",-,-,-,-,-,-,-,0.0,39,38,37,36,35,34,0.0,40,39,38,37,36,35,0.0,42,41,40,39,38,37,0.0,43,42,41,40,39,38,0.0,52,51,50,49,48,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,44,43,42,41,40,39,0.0,45,44,43,42,41,40,0.0,48,47,46,45,44,43,0.0,49,48,47,46,45,44,0.0,58,57,56,55,54,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,48,47,46,45,44,43
24,"Twist metal USB",20038,"Klassiker i en ny tappning. Minnet är tillverkat helt i metall vilket gör det extremt hållbart. Vi rekommenderar lasergravyr på detta minne men det går även bra med tryck!","Klassiker i en ny tappning. Minnet är tillverkat helt i metall vilket gör det extremt hållbart. Vi rekommenderar lasergravyr på detta minne men det går även bra med tryck!",20038,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b82ee26a3.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b82f6d8d2.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8301df5e.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b830afe32.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8314b492.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b82e42dc8.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/Twist-Metal-Pictures.zip"">Twist Metal Pictures</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Twist-Metal-Simulation-20150303.pdf"">Twist Metal Simulation 20150303</a>",,"720-sv,191-sv,192-sv,193-sv,198-sv","194-sv,261-2b-sv,195-sv,196-sv,197-sv,199-sv","457-sv,454-sv,453-sv,452-sv,456-sv,901-sv","100 st",8523511000,"Silver, vit, svart, blå, röd, grön",84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,43,42,41,40,39,38,0.0,47,46,45,44,43,42,0.0,49,48,47,46,45,44,0.0,80,79,78,77,74,72,"552-sv,karbinhake,650-sv,651-sv,551-sv",0.0,32,31,30,29,28,27,0.0,33,32,31,30,29,28,0.0,34,33,32,31,30,29,0.0,36,35,34,33,32,31,0.0,37,36,35,34,33,32,0.0,46,45,44,43,42,41,-,-,-,-,-,-,-,0.0,37,36,35,34,33,32,0.0,38,37,36,35,34,33,0.0,39,38,37,36,35,34,0.0,41,40,39,38,37,36,0.0,42,41,40,39,38,37,0.0,52,51,50,49,48,47,-,-,-,-,-,-,-,0.0,41,40,39,38,37,36,0.0,42,41,40,39,38,37
25,"Twist 3.0 USB",13519,"Omåttligt populära Twist - nu med USB 3.0 med upp till 10 gånger snabbare läs- och skrivhastighet. Med en enkel Twist gör du minnet klart att sätta i USB-porten.","Omåttligt populära Twist - nu med USB 3.0 med upp till 10 gånger snabbare läs- och skrivhastighet. Med en enkel Twist gör du minnet klart att sätta i USB-porten.",13519,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b82521d41.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b825b956f.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b82650ff7.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b826d75c3.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b82482ba5.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/Twist-30-Pictures.zip"">Twist 30 Pictures</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Twist-3.0-Simulation-art-no-13519.pdf"">Twist 3.0 Simulation art no 13519</a>",,"720-sv,191-sv,192-sv,193-sv,198-sv","194-sv,260-1b-sv,195-sv,196-sv,197-sv,199-sv","458-sv,454-sv,453-sv,452-sv,456-sv,455-sv,901-sv","100 st",8523511000,"Silver, vit, svart, blå, röd, grön",84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,85,79,76,74,72,71,0.0,95,88,85,82,80,79,0.0,196,183,177,170,166,164,"552-sv,karbinhake,650-sv,651-sv,551-sv",-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,45,42,40,39,38,37,0.0,46,43,41,39,38,37,0.0,53,49,47,46,45,44,0.0,75,71,68,65,64,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,"Cap USB",13425,"Liten nätt modell med fäste för nyckelring alt. lanyard. Lämplig för såväl tryck som gravyr. Finns i ett flertal skimrande färger. Försedd med transparent hatt.","Liten nätt modell med fäste för nyckelring alt. lanyard. Lämplig för såväl tryck som gravyr. Finns i ett flertal skimrande färger. Försedd med transparent hatt.",13425,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7f4d9217.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7f57155a.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7f5f16b9.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7f686e3a.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7f722697.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7f43c798.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/Cap-Pictures.zip"">Cap Pictures</a>

&nbsp;

&nbsp;

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Cap-Simulation-20140822.pdf"">Cap Simulation 20140822</a>",,"720-sv,191-sv,192-sv,193-sv,198-sv","194-sv,195-sv,196-sv,197-sv,199-sv","556-sv,411-sv,453-sv,452-sv,456-sv,455-sv,901-sv","100 st",8523511000,"Silver, svart, blå, röd, grön",84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,0.0,106,105,102,100,98,96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,40,39,38,37,36,35,0.0,44,43,42,41,40,39,0.0,46,45,44,43,42,41,0.0,77,76,75,74,73,72,"552-sv,karbinhake,650-sv,651-sv,551-sv",0.0,30,29,28,27,26,25,0.0,31,30,29,28,27,26,0.0,32,31,30,29,28,27,0.0,33,32,31,30,29,28,0.0,34,33,32,31,30,29,0.0,43,42,41,40,39,38,0.0,63,62,61,60,59,58,0.0,34,33,32,31,30,29,0.0,35,34,33,32,31,30,0.0,36,35,34,33,32,31,0.0,38,37,36,35,34,33,0.0,39,38,37,36,35,34,0.0,49,48,47,46,45,44,0.0,69,68,67,66,65,64,0.0,38,37,36,35,34,33,0.0,39,38,37,36,35,34
27,"Cool metal USB",13416,"Tufft och robust USB minne i en helt ny design!","Tufft och robust USB minne i en helt ny design!",13416,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7ecef825.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7ed89959.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7ec59364.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Cool-Metal-Pictures.zip"" target=""_blank"" rel=""noopener"">Cool Metal Pictures</a>

&nbsp;

&nbsp;

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Cool-Metal-Simulation-20150916_13416.pdf"">Cool Metal Simulation 20150916_13416</a>",,"720-sv,191-sv,192-sv,193-sv,198-sv","194-sv,195-sv,196-sv,197-sv,199-sv","556-sv,411-sv,453-sv,452-sv,456-sv,455-sv,901-sv","100 st",8523511000,Silver,84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,32,31,30,29,28,27,0.0,33,32,31,30,29,28,0.0,38,37,36,35,34,33,0.0,45,44,43,42,41,40,"552-sv,karbinhake,650-sv,651-sv,551-sv",0.0,26,25,24,23,22,21,0.0,27,26,25,24,23,22,0.0,30,29,28,27,26,25,0.0,31,30,29,28,27,26,0.0,36,35,34,33,32,31,0.0,42,41,40,39,38,37,-,-,-,-,-,-,-,0.0,27,26,25,24,23,22,0.0,28,27,26,25,24,23,0.0,31,30,29,28,27,26,0.0,32,31,30,29,28,27,0.0,37,36,35,34,33,32,0.0,43,42,41,40,39,38,-,-,-,-,-,-,-,0.0,28,27,26,25,24,23,0.0,29,28,27,26,25,24
28,"Metal hook USB",13415,"Tufft och robust USB minne i en helt ny design!","Tufft och robust USB minne i en helt ny design!",13415,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7ea97d96.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7eb30ce0.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7ebbc200.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7ea10a9f.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/Metal-Hook-Pictures.zip"">Metal Hook Pictures</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Metal-Hook-Simulation-20150917.pdf"">Metal Hook Simulation 20150917</a>",,"720-sv,191-sv,192-sv,193-sv,198-sv","194-sv,195-sv,196-sv,197-sv,199-sv","556-sv,453-sv,452-sv,456-sv,455-sv,901-sv","100 st",8523511000,Silver,84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,31,30,29,28,27,26,0.0,32,31,30,29,28,27,0.0,33,32,31,30,29,28,0.0,37,36,35,34,33,32,"552-sv,karbinhake,650-sv,651-sv,551-sv",0.0,27,26,25,24,23,22,0.0,28,27,26,25,24,23,0.0,29,28,27,26,25,24,0.0,30,29,28,27,26,25,0.0,31,30,29,28,27,26,0.0,34,33,32,31,30,29,-,-,-,-,-,-,-,0.0,28,27,26,25,24,23,0.0,29,28,27,26,25,24,0.0,30,29,28,27,26,25,0.0,31,30,29,28,27,26,0.0,32,31,30,29,28,27,0.0,35,34,33,32,31,30,-,-,-,-,-,-,-,0.0,29,28,27,26,25,24,0.0,30,29,28,27,26,25
29,"Metal clip USB",13417,"Tufft och robust USB minne i en helt ny design!","Tufft och robust USB minne i en helt ny design!",13417,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7e85a1a0.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7e8e27d9.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7e97c5a8.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7e79c30a.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/Metal-Clip-Pictures.zip"">Metal Clip Pictures</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Metal-Clip-Simulation-20150916.pdf"">Metal Clip Simulation 20150916</a>",,"720-sv,191-sv,192-sv,193-sv,198-sv","194-sv,195-sv,196-sv,197-sv,199-sv","453-sv,452-sv,456-sv,455-sv,901-sv","100 st",8523511000,Silver,84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,33,32,31,30,29,28,0.0,34,33,32,31,30,29,0.0,35,34,33,32,31,30,0.0,39,38,37,36,35,34,"552-sv,karbinhake,551-sv",-,-,-,-,-,-,-,0.0,30,29,28,27,26,25,0.0,31,30,29,28,27,26,0.0,32,31,30,29,28,27,0.0,33,32,31,30,29,28,0.0,34,33,32,31,30,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,31,30,29,28,27,26,0.0,32,31,30,29,28,27,0.0,33,32,31,30,29,28,0.0,34,33,32,31,30,29,0.0,35,34,33,32,31,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,32,31,30,29,28,27
30,"Key house USB",13418,"Tufft och robust USB-minne i en helt ny design!","Tufft och robust USB-minne i en helt ny design!",13418,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7e54c2de.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7e5c762c.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7e663cfd.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7e70111b.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7e4bda82.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/Key-House-Pictures.zip"">Key House Pictures</a>

&nbsp;

&nbsp;

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Key-House-Simulation-20150916.pdf"">Key House Simulation 20150916</a>",,"720-sv,191-sv,192-sv,193-sv,198-sv","194-sv,195-sv,196-sv,197-sv,199-sv","556-sv,411-sv,453-sv,452-sv,456-sv,455-sv,901-sv","100 st",8523511000,Silver,84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,33,32,31,30,29,28,0.0,34,33,32,31,30,29,0.0,35,34,33,32,31,30,0.0,39,38,37,36,35,34,"552-sv,karbinhake,650-sv,651-sv,551-sv",-,-,-,-,-,-,-,0.0,30,29,28,27,26,25,0.0,31,30,29,28,27,26,0.0,32,31,30,29,28,27,0.0,33,32,31,30,29,28,0.0,34,33,32,31,30,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,31,30,29,28,27,26,0.0,32,31,30,29,28,27,0.0,33,32,31,30,29,28,0.0,34,33,32,31,30,29,0.0,35,34,33,32,31,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,32,31,30,29,28,27
31,"Twist USB",10019,"Twist, världens mest sålda USB-modell! Med en enkel TWIST gör du minnet klart att sätta i USB-porten. Mot tillägg kan metallbygel och gummidel fås i valfri PMS-färg. Denna modell ger dig alla möjligheter till en unik design.","Twist, världens mest sålda USB-modell! Med en enkel TWIST gör du minnet klart att sätta i USB-porten. Mot tillägg kan metallbygel och gummidel fås i valfri PMS-färg. Denna modell ger dig alla möjligheter till en unik design.",10019,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7db38e79.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7dbbba43.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7dc48b75.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7da8ccdf.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/Twist-Pictures.zip"">Twist Pictures'</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Twist_10019_SIM.pdf"">Twist_10019_SIM</a>",,"720-sv,191-sv,192-sv,193-sv,198-sv","194-sv,260-1b-sv,195-sv,196-sv,197-sv,199-sv","457-sv,454-sv,453-sv,452-sv,456-sv,901-sv","100 st",8523511000,"Silver, vit, svart, blå, röd, grön",84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,0.0,106,103,101,98,97,64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,39,38,37,36,35,34,0.0,43,42,41,40,39,38,0.0,45,44,43,42,41,40,0.0,76,75,74,73,72,71,"552-sv,karbinhake,650-sv,651-sv,551-sv",0.0,28,27,26,25,24,23,0.0,29,28,27,26,25,24,0.0,30,29,28,27,26,25,0.0,33,32,32,31,31,30,0.0,34,34,33,32,31,30,0.0,43,42,42,41,41,40,0.0,62,61,60,59,58,57,0.0,33,32,32,31,30,29,0.0,34,33,32,32,31,30,0.0,35,34,33,32,31,30,0.0,39,38,37,36,35,34,0.0,40,39,38,37,36,35,0.0,48,47,46,45,44,43,0.0,69,68,67,66,65,64,0.0,37,36,35,34,33,32,0.0,38,37,36,35,34,33
