id,Attributes,Name,Slug,Quantity-50,Quantity-100,Quantity-250,Quantity-500,Quantity-1000,Quantity-2500,Quantity5000,"ocm-tlc-1 GB-50","ocm-tlc-1 GB-100","ocm-tlc-1 GB-250","ocm-tlc-1 GB-500","ocm-tlc-1 GB-1000","ocm-tlc-1 GB-2500","ocm-tlc-1 GB-5000","ocm-tlc-2 GB-50","ocm-tlc-2 GB-100","ocm-tlc-2 GB-250","ocm-tlc-2 GB-500","ocm-tlc-2 GB-1000","ocm-tlc-2 GB-2500","ocm-tlc-2 GB-5000",ocm-tlc--50,ocm-tlc--100,ocm-tlc--250,ocm-tlc--500,ocm-tlc--1000,ocm-tlc--2500,ocm-tlc--5000,"ocm-mlc-1 GB-50","ocm-mlc-1 GB-100","ocm-mlc-1 GB-250","ocm-mlc-1 GB-500","ocm-mlc-1 GB-1000","ocm-mlc-1 GB-2500","ocm-mlc-1 GB-5000","ocm-mlc-2 GB-50","ocm-mlc-2 GB-100","ocm-mlc-2 GB-250","ocm-mlc-2 GB-500","ocm-mlc-2 GB-1000","ocm-mlc-2 GB-2500","ocm-mlc-2 GB-5000",ocm-mlc--50,ocm-mlc--100,ocm-mlc--250,ocm-mlc--500,ocm-mlc--1000,ocm-mlc--2500,ocm-mlc--5000,"original-1 GB-50","original-1 GB-100","original-1 GB-250","original-1 GB-500","original-1 GB-1000","original-1 GB-2500","original-1 GB-5000","original-2 GB-50","original-2 GB-100","original-2 GB-250","original-2 GB-500","original-2 GB-1000","original-2 GB-2500","original-2 GB-5000",original--50,original--100,original--250,original--500,original--1000,original--2500,original--5000
21,print-position-2,"Full Colour (267-13-2S)",267-13-2s,,7,6,5.45,4,3.50,3,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
22,print-position-2,"Full Colour (267-13S)",267-13s,,4,4,4,4,4,4,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
23,print-position-2,"Full Colour (268-14-2M)",268-14-2m,,7,7,7,7,7,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
24,print-position-2,"Full Colour (268-14M)",268-14m,,7,7,7,7,7,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
25,print-position-2,"Full Colour (269-15-2L)",269-15-2l,,11.50,11.50,11.50,11.50,11.50,11.50,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
26,print-position-2,"Full Colour (269-15L)",269-15l,,11.50,11.50,11.50,11.50,11.50,11.50,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
27,print-position-2,"Full Colour (350)",350,,8,6,4,3,2.50,2,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
28,print-position-2,"Full Colour Included (731)",731,,0,0,0,0,0,0,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
29,print-position-2,"Full Colour RFID Side 2 ( 733)",733,,5,5,5,0,0,0,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
30,print-position-2,"Full Colour sid 2 RFID (1)",1,,8.50,6,5.50,0.50,0,0,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
31,print-position-2,"Full Colour Special (732)",732,,4,4,4,0,0,0,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
32,print-position-2,"Label (206-6a)",206-6a,,14.50,6.50,4.50,3,2.50,2,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
33,print-position-2,"Label (262-6)",262-6,,14.50,6.50,4.50,3,2.50,2,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
0,print-position-3,"1 colour on cap",1-colour-on-cap,,4,1.60,0.80,0.50,0.50,0.50,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
1,print-position-3,"2 colour on cap",2-colour-on-cap,,5.60,2.25,1.25,1,1,1,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
2,print-position-3,"Full colour-on-cap",full-colour-on-cap,,11,4.60,2.30,1.50,1.25,1.10,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
0,sizes,330x240mm,330x240mm,,,6,5,4,3,2,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
1,sizes,400x280mm,400x280mm,,,22,8,8,8,8,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
2,sizes,420x297mm,420x297mm,,,22,8,8,8,8,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
3,sizes,210x297mm,210x297mm,,,,,,,,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
0,test,Test1,test1,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,2,3,4,5,6,7,,1,2,3,4,5,6,7,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,2,3,4,5,6,7,2,2,2,2,2,2,2,3,3,3,3,3,3,3
